k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
65	10	21	73.7182	3.35713	3.3713	1	0.428571		65	1	21	6.08047	0.652402	0.654996	0.666667	0.666667		65	2	21	12.4295	0.933956	0.937809	0.904762	0.904762		65	3	21	7.97109	1.28144	1.28652	0.952381	0.904762		65	4	21	14.0311	1.47799	1.48424	0.904762	0.904762		65	5	21	21.6817	1.88504	1.89273	0.333333	0.333333		65	6	21	38.0424	2.17831	2.18725	0.571429	0.47619		65	7	21	39.446	2.45875	2.46879	0.428571	0.238095		65	8	21	48.4924	2.80017	2.81168	0.52381	0.619048		65	9	21	56.5611	3.19771	3.21052	0.52381	0.47619
66	10	21	74.2848	3.41546	3.4297	1	0.619048		66	1	21	6.28197	0.68674	0.689455	0.666667	0.666667		66	2	21	12.9521	0.947795	0.951716	0.904762	0.904762		66	3	21	8.92625	1.28217	1.28738	0.952381	0.904762		66	4	21	14.2354	1.52246	1.52904	0.904762	0.904762		66	5	21	21.996	1.94438	1.95234	0.333333	0.47619		66	6	21	38.2522	2.19813	2.20725	0.571429	0.428571		66	7	21	40.7781	2.50341	2.51391	0.428571	0.238095		66	8	21	50.6528	2.84651	2.85829	0.52381	0.52381		66	9	21	57.3011	3.20157	3.21458	0.619048	0.47619
67	10	21	78.4855	3.50636	3.52083	1	0.666667		67	1	21	6.48488	0.66813	0.670864	0.761905	0.761905		67	2	21	13.4779	0.9598	0.963875	0.904762	0.904762		67	3	21	9.00962	1.33026	1.33561	0.952381	0.904762		67	4	21	15.1438	1.59808	1.60471	0.904762	0.904762		67	5	21	22.4517	2.01828	2.0264	0.285714	0.428571		67	6	21	39.1344	2.24405	2.25327	0.571429	0.380952		67	7	21	41.2911	2.56391	2.57458	0.47619	0.380952		67	8	21	52.535	2.88635	2.89812	0.571429	0.52381		67	9	21	59.531	3.22424	3.23751	0.619048	0.52381
68	10	21	80.4849	3.60782	3.62253	1	0.666667		68	1	21	6.68879	0.685768	0.688534	0.761905	0.761905		68	2	21	13.9981	0.975948	0.979964	0.904762	0.904762		68	3	21	9.96538	1.34079	1.34621	0.952381	0.904762		68	4	21	15.53	1.62009	1.6268	0.904762	0.904762		68	5	21	22.8581	1.98824	1.99632	0.380952	0.47619		68	6	21	39.4128	2.25741	2.26682	0.571429	0.333333		68	7	21	41.7045	2.58147	2.59206	0.428571	0.333333		68	8	21	57.5139	2.93019	2.94225	0.571429	0.619048		68	9	21	60.7875	3.31319	3.32671	0.666667	0.52381
69	10	21	81.3894	3.64581	3.66082	1	0.666667		69	1	21	6.89204	0.682619	0.685314	0.714286	0.714286		69	2	21	14.5189	0.991089	0.995127	0.904762	0.904762		69	3	21	10.925	1.35718	1.36258	0.952381	0.904762		69	4	21	15.7651	1.63239	1.63911	0.904762	0.904762		69	5	21	23.5072	2.04261	2.05087	0.380952	0.47619		69	6	21	40.469	2.29404	2.30348	0.619048	0.380952		69	7	21	43.9634	2.60523	2.61601	0.47619	0.285714		69	8	21	58.4767	2.96782	2.98041	0.571429	0.666667		69	9	21	63.6436	3.39445	3.40792	0.761905	0.52381
70	10	21	83.0739	3.68181	3.69704	1	0.619048		70	1	21	7.09476	0.695081	0.697821	0.761905	0.761905		70	2	21	14.5749	1.00518	1.00925	0.904762	0.904762		70	3	21	11.8922	1.39353	1.39908	0.952381	0.904762		70	4	21	15.992	1.65285	1.65969	0.904762	0.904762		70	5	21	23.7794	2.05778	2.06613	0.380952	0.571429		70	6	21	41.0919	2.32377	2.33319	0.619048	0.428571		70	7	21	44.8945	2.6869	2.69794	0.47619	0.333333		70	8	21	58.899	3.01002	3.02245	0.571429	0.666667		70	9	21	64.5313	3.3585	3.37244	0.761905	0.52381
71	10	21	89.7284	3.77613	3.79129	1	0.666667		71	1	21	7.29933	0.720568	0.723437	0.761905	0.761905		71	2	21	14.5992	1.02662	1.03086	0.857143	0.904762		71	3	21	12.8566	1.3826	1.38808	0.952381	0.904762		71	4	21	16.1659	1.69425	1.70123	0.904762	0.904762		71	5	21	23.9939	2.09557	2.10392	0.380952	0.619048		71	6	21	41.4755	2.34759	2.35711	0.619048	0.428571		71	7	21	45.5904	2.756	2.76694	0.47619	0.47619		71	8	21	60.7515	3.12672	3.13918	0.571429	0.619048		71	9	21	65.6335	3.49138	3.50545	0.761905	0.47619
72	10	21	90.7797	3.78859	3.80396	1	0.714286		72	1	21	7.50391	0.72823	0.731454	0.761905	0.761905		72	2	21	15.1253	1.02668	1.03091	0.904762	0.904762		72	3	21	12.8818	1.41478	1.4203	0.952381	0.952381		72	4	21	16.4469	1.72108	1.72813	0.904762	0.904762		72	5	21	24.3193	2.11865	2.12707	0.380952	0.666667		72	6	21	43.8304	2.40046	2.41017	0.666667	0.47619		72	7	21	46.9178	2.76127	2.77306	0.571429	0.47619		72	8	21	61.6704	3.19592	3.2086	0.571429	0.619048		72	9	21	66.4503	3.49095	3.50507	0.761905	0.52381
73	10	21	91.7586	3.82823	3.84374	1	0.761905		73	1	21	7.70841	0.742607	0.745468	0.761905	0.761905		73	2	21	15.6472	1.04082	1.04496	0.904762	0.904762		73	3	21	13.845	1.4212	1.42682	0.952381	0.952381		73	4	21	16.5598	1.7381	1.74521	0.904762	0.904762		73	5	21	24.7299	2.20119	2.20972	0.380952	0.52381		73	6	21	44.4501	2.37901	2.38893	0.666667	0.47619		73	7	21	47.4093	2.73025	2.74143	0.52381	0.47619		73	8	21	62.2832	3.26621	3.27891	0.571429	0.619048		73	9	21	69.0225	3.58237	3.59655	0.761905	0.52381
74	10	21	96.1246	3.88625	3.90193	1	0.857143		74	1	21	7.91227	0.75016	0.753172	0.761905	0.761905		74	2	21	16.1731	1.06515	1.06937	0.904762	0.904762		74	3	21	13.8838	1.43442	1.44008	0.952381	0.952381		74	4	21	16.6744	1.75784	1.76506	0.904762	0.904762		74	5	21	24.9915	2.16796	2.17658	0.380952	0.571429		74	6	21	44.7938	2.3821	2.39205	0.666667	0.52381		74	7	21	48.0594	2.78795	2.79925	0.52381	0.47619		74	8	21	64.9718	3.22955	3.24256	0.571429	0.47619		74	9	21	72.7984	3.57377	3.58817	0.809524	0.571429
75	10	21	99.3714	4.01388	4.02966	1	0.857143		75	1	21	8.11742	0.74035	0.743284	0.761905	0.761905		75	2	21	16.7023	1.08683	1.0913	0.904762	0.904762		75	3	21	14.8466	1.4559	1.46169	0.952381	0.952381		75	4	21	17.0005	1.78629	1.79347	0.904762	0.904762		75	5	21	26.3773	2.21238	2.22106	0.380952	0.571429		75	6	21	46.0894	2.46891	2.47908	0.666667	0.571429		75	7	21	48.6665	2.83044	2.8417	0.47619	0.428571		75	8	21	66.1927	3.3573	3.37048	0.52381	0.571429		75	9	21	73.503	3.7294	3.74393	0.904762	0.619048
76	10	21	100.632	4.02219	4.03806	1	0.904762		76	1	21	8.3228	0.76152	0.764418	0.761905	0.761905		76	2	21	17.2254	1.08864	1.09309	0.904762	0.904762		76	3	21	15.8042	1.4749	1.48066	0.952381	0.952381		76	4	21	17.2955	1.82033	1.82761	0.904762	0.904762		76	5	21	26.6282	2.26302	2.27181	0.380952	0.52381		76	6	21	46.68	2.38483	2.39483	0.666667	0.666667		76	7	21	50.5514	2.85237	2.86385	0.571429	0.47619		76	8	21	66.8235	3.33857	3.35154	0.52381	0.47619		76	9	21	75.5504	3.704	3.71865	0.904762	0.571429
77	10	21	103.033	4.04375	4.06015	1	0.904762		77	1	21	8.52806	0.770815	0.77382	0.714286	0.714286		77	2	21	17.7519	1.09923	1.10355	0.904762	0.904762		77	3	21	15.8326	1.52902	1.53493	0.952381	0.952381		77	4	21	17.7054	1.83844	1.84582	0.904762	0.904762		77	5	21	26.9836	2.25861	2.26741	0.380952	0.619048		77	6	21	47.2385	2.47003	2.48029	0.666667	0.619048		77	7	21	51.0845	2.92751	2.93914	0.619048	0.52381		77	8	21	67.8094	3.37039	3.3838	0.52381	0.52381		77	9	21	76.7767	3.80731	3.82338	0.904762	0.666667
78	10	21	103.837	4.1465	4.16291	1	0.904762		78	1	21	8.73189	0.781205	0.784283	0.714286	0.714286		78	2	21	17.846	1.11245	1.11683	0.904762	0.904762		78	3	21	15.9775	1.55852	1.56447	0.952381	0.952381		78	4	21	17.785	1.91911	1.9267	0.904762	0.904762		78	5	21	28.1785	2.31691	2.32591	0.380952	0.619048		78	6	21	49.5927	2.58189	2.59221	0.666667	0.666667		78	7	21	52.0202	2.95453	2.96645	0.52381	0.47619		78	8	21	70.4686	3.44691	3.46024	0.714286	0.619048		78	9	21	78.1497	3.81216	3.82708	0.904762	0.857143
79	10	21	105.234	4.18268	4.19902	1	0.904762		79	1	21	8.93291	0.802759	0.805835	0.714286	0.714286		79	2	21	17.8678	1.13275	1.13732	0.904762	0.904762		79	3	21	16.9346	1.55741	1.56335	0.952381	0.952381		79	4	21	17.9548	1.94505	1.95257	0.904762	0.904762		79	5	21	28.3582	2.33853	2.3475	0.47619	0.666667		79	6	21	49.938	2.63731	2.64776	0.666667	0.666667		79	7	21	52.9615	2.98809	2.99981	0.619048	0.52381		79	8	21	71.0745	3.51641	3.52976	0.714286	0.714286		79	9	21	81.1075	3.90515	3.92008	0.952381	0.809524
80	10	21	110.416	4.21993	4.23645	1	0.904762		80	1	21	9.13345	0.784443	0.787443	0.714286	0.714286		80	2	21	18.3939	1.15326	1.15795	0.904762	0.904762		80	3	21	17.016	1.5769	1.58298	0.952381	0.952381		80	4	21	18.0356	1.95275	1.96032	0.904762	0.904762		80	5	21	28.8117	2.3582	2.36725	0.52381	0.666667		80	6	21	50.6541	2.65211	2.66258	0.619048	0.666667		80	7	21	53.4134	3.03072	3.04291	0.619048	0.52381		80	8	21	72.206	3.49733	3.5113	0.714286	0.761905		80	9	21	82.1988	3.87919	3.89441	0.952381	0.714286
81	10	21	112.031	4.30161	4.31869	1	0.904762		81	1	21	9.33463	0.799945	0.803013	0.714286	0.714286		81	2	21	18.923	1.15978	1.16433	0.904762	0.904762		81	3	21	17.9738	1.59591	1.60195	0.952381	0.952381		81	4	21	18.135	1.97853	1.98608	0.904762	0.904762		81	5	21	30.5857	2.41574	2.42492	0.619048	0.47619		81	6	21	51.2667	2.68478	2.69541	0.619048	0.619048		81	7	21	56.0844	3.04941	3.06144	0.52381	0.52381		81	8	21	73.7463	3.61637	3.63009	0.761905	0.904762		81	9	21	82.9464	3.98232	3.99749	0.952381	0.809524
82	10	21	114.876	4.34902	4.36613	1	0.904762		82	1	21	9.53563	0.83579	0.838926	0.714286	0.714286		82	2	21	19.4473	1.17086	1.17537	0.904762	0.904762		82	3	21	18.9446	1.58464	1.59078	0.952381	0.952381		82	4	21	18.2077	2.02677	2.03446	0.904762	0.904762		82	5	21	30.8101	2.43633	2.44562	0.619048	0.571429		82	6	21	51.9909	2.75249	2.76333	0.619048	0.571429		82	7	21	57.3019	3.08818	3.10031	0.571429	0.714286		82	8	21	75.9155	3.61082	3.62466	0.761905	0.904762		82	9	21	83.982	4.00448	4.0202	0.952381	0.761905
83	10	21	115.716	4.43542	4.4527	1	0.857143		83	1	21	9.73667	0.829574	0.832778	0.714286	0.714286		83	2	21	19.9687	1.17683	1.18158	0.904762	0.904762		83	3	21	19.1112	1.61021	1.61633	0.952381	0.952381		83	4	21	18.2277	2.04552	2.05326	0.904762	0.904762		83	5	21	31.4223	2.44369	2.45298	0.619048	0.571429		83	6	21	52.8244	2.75656	2.76725	0.619048	0.666667		83	7	21	57.9355	3.13033	3.14256	0.571429	0.714286		83	8	21	77.2577	3.68074	3.69462	0.761905	0.904762		83	9	21	85.6723	4.0458	4.06147	0.952381	0.761905
84	10	21	118.913	4.45301	4.47066	1	0.904762		84	1	21	9.93826	0.835476	0.838705	0.714286	0.714286		84	2	21	20.4954	1.21038	1.21509	0.904762	0.904762		84	3	21	19.2339	1.64768	1.65404	0.952381	0.952381		84	4	21	18.5127	2.05159	2.05948	0.904762	0.904762		84	5	21	31.7856	2.48792	2.49732	0.619048	0.619048		84	6	21	53.823	2.82247	2.83347	0.761905	0.809524		84	7	21	58.5629	3.1463	3.15872	0.666667	0.809524		84	8	21	78.1045	3.722	3.73618	0.809524	0.904762		84	9	21	87.5643	4.14082	4.15639	0.952381	0.809524
85	10	21	119.948	4.51829	4.53599	1	1		85	1	21	10.1402	0.846776	0.850024	0.714286	0.714286		85	2	21	20.5249	1.22792	1.23265	0.904762	0.904762		85	3	21	20.1994	1.69252	1.69885	0.952381	0.952381		85	4	21	18.5534	2.09001	2.09786	0.904762	0.904762		85	5	21	32.1175	2.47931	2.48885	0.619048	0.619048		85	6	21	56.8297	2.82011	2.83128	0.761905	0.761905		85	7	21	59.2962	3.19908	3.21161	0.714286	0.761905		85	8	21	79.0237	3.7898	3.80405	0.761905	0.857143		85	9	21	88.6997	4.15873	4.17475	0.904762	0.809524
86	10	21	127.466	4.45033	4.46804	1	0.904762		86	1	21	10.3416	0.853939	0.857156	0.714286	0.714286		86	2	21	20.5401	1.23025	1.23497	0.904762	0.904762		86	3	21	21.1669	1.70692	1.71329	0.952381	0.952381		86	4	21	20.0719	2.10643	2.1145	0.904762	0.904762		86	5	21	32.3455	2.64459	2.65429	0.619048	0.619048		86	6	21	57.3037	2.91726	2.92852	0.761905	0.714286		86	7	21	59.9521	3.27071	3.28354	0.761905	0.761905		86	8	21	79.784	3.84554	3.86024	0.761905	0.952381		86	9	21	93.5601	4.19755	4.21342	0.952381	0.857143
87	10	21	128.765	4.51893	4.53697	1	0.904762		87	1	21	10.5426	0.869726	0.873054	0.714286	0.714286		87	2	21	21.0629	1.24174	1.24669	0.904762	0.904762		87	3	21	22.1376	1.71911	1.72549	0.952381	0.952381		87	4	21	21.5944	2.1197	2.12775	0.904762	0.904762		87	5	21	32.5795	2.62816	2.63783	0.666667	0.761905		87	6	21	57.734	2.98686	2.99814	0.714286	0.809524		87	7	21	61.0837	3.24175	3.25418	0.761905	0.761905		87	8	21	80.9234	3.83932	3.85403	0.857143	0.952381		87	9	21	94.655	4.28747	4.30389	0.952381	0.904762
88	10	21	130.24	4.56349	4.58157	1	0.952381		88	1	21	10.743	0.875129	0.878428	0.714286	0.714286		88	2	21	21.087	1.25243	1.25743	0.904762	0.904762		88	3	21	23.0965	1.71009	1.71653	0.952381	1		88	4	21	21.7086	2.15132	2.15944	0.904762	0.904762		88	5	21	32.8148	2.50626	2.51595	0.666667	0.809524		88	6	21	58.3561	2.97957	2.99092	0.857143	0.809524		88	7	21	62.8245	3.22685	3.23976	0.809524	0.761905		88	8	21	81.8483	3.89793	3.91274	0.857143	0.904762		88	9	21	95.5691	4.29115	4.30758	1	0.857143
89	10	21	131.609	4.60534	4.62318	1	0.952381		89	1	21	10.944	0.903082	0.906385	0.714286	0.714286		89	2	21	21.6091	1.28335	1.28821	0.904762	0.904762		89	3	21	23.1828	1.74421	1.75071	0.952381	1		89	4	21	23.2238	2.17545	2.18363	0.952381	0.904762		89	5	21	33.4727	2.54943	2.55932	0.761905	0.809524		89	6	21	58.7018	3.05533	3.06674	0.809524	0.809524		89	7	21	63.6203	3.22864	3.24136	0.809524	0.857143		89	8	21	82.2878	3.87202	3.8869	0.904762	0.952381		89	9	21	96.5211	4.38531	4.4018	1	0.857143
90	10	21	134.192	4.7195	4.73809	1	1		90	1	21	11.1447	0.901977	0.905448	0.714286	0.714286		90	2	21	21.6298	1.28847	1.2934	0.904762	0.904762		90	3	21	24.1528	1.76803	1.77466	0.952381	1		90	4	21	24.7333	2.19843	2.20672	0.952381	0.904762		90	5	21	33.8367	2.55291	2.5628	0.761905	0.857143		90	6	21	59.1677	3.05529	3.06686	0.809524	0.857143		90	7	21	64.406	3.25715	3.27015	0.857143	0.857143		90	8	21	84.8099	4.00005	4.01517	0.952381	0.952381		90	9	21	98.3211	4.40749	4.4242	1	0.904762
91	10	21	137.18	4.7609	4.77953	1	1		91	1	21	11.3459	0.914288	0.917654	0.714286	0.714286		91	2	21	21.6754	1.30498	1.3101	0.904762	0.857143		91	3	21	25.1124	1.77335	1.78012	0.952381	0.952381		91	4	21	26.2458	2.25043	2.25883	0.952381	0.904762		91	5	21	34.0864	2.59936	2.60936	0.809524	0.857143		91	6	21	59.6944	3.09932	3.11105	0.904762	0.809524		91	7	21	65.3478	3.34796	3.36163	0.857143	0.952381		91	8	21	85.8252	3.99903	4.01414	0.952381	1		91	9	21	99.8179	4.47766	4.49449	1	0.952381
92	10	21	138.34	4.70736	4.72585	1	1		92	1	21	11.5471	0.938034	0.94178	0.761905	0.761905		92	2	21	22.1978	1.3169	1.32205	0.904762	0.857143		92	3	21	26.0788	1.81827	1.82499	0.952381	0.952381		92	4	21	27.7595	2.25379	2.26218	0.904762	0.904762		92	5	21	34.517	2.63225	2.64226	0.857143	0.904762		92	6	21	60.0591	3.11634	3.12816	0.809524	0.904762		92	7	21	66.4941	3.35243	3.36565	0.904762	0.904762		92	8	21	87.0092	4.04305	4.05831	1	1		92	9	21	105.201	4.59757	4.61454	1	0.952381
93	10	21	139.839	4.80786	4.8263	1	1		93	1	21	11.7474	0.954313	0.95778	0.761905	0.761905		93	2	21	22.3021	1.33301	1.33805	0.904762	0.904762		93	3	21	26.1922	1.82907	1.83581	0.952381	0.952381		93	4	21	29.2783	2.26914	2.27762	0.904762	0.904762		93	5	21	34.782	2.64524	2.65532	0.857143	0.904762		93	6	21	60.7604	3.16132	3.17314	0.952381	1		93	7	21	66.8962	3.42896	3.44208	0.952381	0.904762		93	8	21	88.6562	4.15748	4.17319	1	0.857143		93	9	21	106.579	4.41748	4.43468	1	0.952381
94	10	21	142.009	4.85047	4.86932	1	1		94	1	21	11.9492	0.945274	0.948757	0.761905	0.761905		94	2	21	22.8243	1.33805	1.34318	0.904762	0.857143		94	3	21	27.1717	1.83231	1.83908	0.952381	0.952381		94	4	21	29.3287	2.30285	2.31151	0.904762	0.904762		94	5	21	34.9774	2.70381	2.71399	0.904762	0.904762		94	6	21	61.8985	3.19334	3.20544	0.952381	1		94	7	21	68.2864	3.42691	3.44016	0.952381	0.952381		94	8	21	89.9115	4.13388	4.14962	1	0.904762		94	9	21	109.003	4.43497	4.4521	1	0.952381
95	10	21	143.978	4.93536	4.95451	1	1		95	1	21	12.1498	0.944619	0.948119	0.761905	0.761905		95	2	21	23.3482	1.35692	1.36222	0.904762	0.904762		95	3	21	28.1537	1.88535	1.89222	0.952381	0.952381		95	4	21	30.8343	2.3015	2.31074	0.904762	0.904762		95	5	21	35.1822	2.7114	2.72178	0.904762	0.904762		95	6	21	62.3013	3.27064	3.28286	1	1		95	7	21	69.0556	3.54321	3.55693	0.952381	0.952381		95	8	21	94.8984	4.22956	4.24524	1	0.952381		95	9	21	110.298	4.51821	4.53539	1	0.952381
96	10	21	145.942	4.94911	4.96793	1	1		96	1	21	12.3512	0.952784	0.956334	0.761905	0.761905		96	2	21	23.8738	1.36486	1.37022	0.904762	0.904762		96	3	21	29.1287	1.87144	1.87836	0.952381	0.952381		96	4	21	32.3484	2.32715	2.33579	0.904762	0.904762		96	5	21	35.3618	2.74759	2.7581	0.904762	0.952381		96	6	21	63.3427	3.36243	3.37462	1	1		96	7	21	70.464	3.4878	3.50138	0.904762	0.952381		96	8	21	96.5919	4.22048	4.23636	1	0.952381		96	9	21	111.09	4.56394	4.58194	1	1
97	10	21	147.019	4.988	5.00699	1	1		97	1	21	12.5516	0.950706	0.954182	0.761905	0.761905		97	2	21	24.3986	1.37716	1.38234	0.904762	0.904762		97	3	21	30.0913	1.91649	1.92344	0.952381	0.952381		97	4	21	33.8579	2.38619	2.39496	0.904762	0.904762		97	5	21	35.8409	2.75921	2.76975	0.904762	0.952381		97	6	21	63.703	3.31507	3.32736	1	1		97	7	21	71.9812	3.53405	3.54757	0.952381	0.904762		97	8	21	97.2765	4.29784	4.31391	1	1		97	9	21	112.837	4.60774	4.62551	1	0.952381
98	10	21	150.327	5.03436	5.05401	1	1		98	1	21	12.7521	0.967351	0.970958	0.714286	0.714286		98	2	21	24.4297	1.39056	1.39583	0.904762	0.904762		98	3	21	31.0535	1.89722	1.90434	0.952381	0.904762		98	4	21	34.0213	2.36144	2.37027	0.904762	0.904762		98	5	21	36.0121	2.80023	2.81084	0.904762	0.904762		98	6	21	64.2487	3.32013	3.33248	1	1		98	7	21	72.2804	3.59386	3.60816	0.904762	0.904762		98	8	21	98.3538	4.37274	4.38889	1	0.952381		98	9	21	115.771	4.64761	4.66529	1	0.952381
99	10	21	152.569	5.09012	5.10982	1	1		99	1	21	12.9523	0.973203	0.976819	0.714286	0.714286		99	2	21	24.4933	1.40386	1.40935	0.904762	0.904762		99	3	21	31.133	1.9344	1.94161	0.952381	0.904762		99	4	21	35.527	2.38159	2.39051	0.904762	0.904762		99	5	21	36.6618	2.84343	2.8542	0.904762	0.904762		99	6	21	67.2724	3.42166	3.43427	1	1		99	7	21	74.676	3.74501	3.75958	0.904762	0.904762		99	8	21	99.5001	4.336	4.35211	1	1		99	9	21	118.096	4.7266	4.74459	1	1
100	10	21	158.675	5.1751	5.19485	1	1		100	1	21	13.1531	0.988874	0.992543	0.714286	0.714286		100	2	21	24.5158	1.42856	1.43407	0.904762	0.904762		100	3	21	31.6815	1.94245	1.94964	0.952381	0.904762		100	4	21	37.0445	2.44661	2.45558	0.904762	0.904762		100	5	21	36.8601	2.83126	2.84186	0.904762	0.904762		100	6	21	67.5638	3.42229	3.43475	1	1		100	7	21	75.2548	3.76062	3.77542	0.904762	0.904762		100	8	21	100.924	4.36246	4.37862	1	1		100	9	21	118.881	4.71405	4.73211	1	1
